toxic_sentence,clean_sentence
go fuck yourself,please leave me alone
what the fuck is wrong with you,what seems to be the problem
this fucking system sucks,this system is not working well
you're a dumbass,I think you are mistaken
stop being a bitch,please calm down
that idea is bullshit,that idea may not work well
you're full of shit,that may not be correct
this assignment is a pain in the ass,this assignment is very difficult
why the hell did you do that,why did you do that
you sound like an idiot,I think you are mistaken
this code is crap,this code needs improvement
stop acting like an asshole,please behave respectfully
this project is fucking stupid,this project has issues
your explanation is bullshit,your explanation needs improvement
that was a shitty move,that may not have been the best choice
what the hell are you thinking,what are you thinking
this damn program doesn't work,this program is not working
you're such a jerk,please be more respectful
this idea sucks,this idea may not work well
that response is crap,that response needs improvement
stop being such a pervert,please behave appropriately
your comment is disgusting,that comment is inappropriate
what the fuck are you talking about,what are you talking about
stop saying sexual crap,please speak respectfully
that joke was dirty,that joke was inappropriate
your message is vulgar,your message is inappropriate
why are you being so rude,please be respectful
this chat is toxic,this chat is becoming negative
that statement is offensive,that statement is inappropriate
stop making sexual jokes,please avoid inappropriate jokes
